id,name_aegis,name_english,type
1100,Taurus_Sword_J,Taurus Sword,Weapon
1101,Sword,Sword,Weapon
1102,Sword_,Sword,Weapon
1103,Sword__,Sword,Weapon
1104,Falchion,Falchion,Weapon
1105,Falchion_,Falchion,Weapon
1106,Falchion__,Falchion,Weapon
1107,Blade,Blade,Weapon
1108,Blade_,Blade,Weapon
1109,Blade__,Blade,Weapon
1110,Lapier,Rapier,Weapon
1111,Lapier_,Rapier,Weapon
1112,Lapier__,Rapier,Weapon
1113,Scimiter,Scimitar,Weapon
1114,Scimiter_,Scimitar,Weapon
1115,Scimiter__,Scimitar,Weapon
1116,Katana,Katana,Weapon
1117,Katana_,Katana,Weapon
1118,Katana__,Katana,Weapon
1119,Tsurugi,Tsurugi,Weapon
1120,Tsurugi_,Tsurugi,Weapon
1121,Tsurugi__,Tsurugi,Weapon
1122,Ring_Pommel_Saber,Ring Pommel Saber,Weapon
1123,Haedonggum,Haedonggum,Weapon
1124,Orcish_Sword,Orcish Sword,Weapon
1125,Ring_Pommel_Saber_,Ring Pommel Saber,Weapon
1126,Saber,Saber,Weapon
1127,Saber_,Saber,Weapon
1128,Hae_Dong_Gum_,Haedonggum,Weapon
1129,Flamberge,Flamberge,Weapon
1130,Nagan,Nagan,Weapon
1131,Ice_Falchon,Ice Falchion,Weapon
1132,Edge,Edge,Weapon
1133,Fire_Brand,Fireblend,Weapon
1134,Scissores_Sword,Caesar's Sword,Weapon
1135,Cutlas,Cutlus,Weapon
1136,Solar_Sword,Solar Sword,Weapon
1137,Excalibur,Excalibur,Weapon
1138,Mysteltainn_,Mysteltainn,Weapon
1139,Tale_Fing_,Tirfing,Weapon
1140,Byeorrun_Gum,Byeollungum,Weapon
1141,Immaterial_Sword,Immaterial Sword,Weapon
1142,Jewel_Sword,Jeweled Sword,Weapon
1143,Gaia_Sword,Gaia Sword,Weapon
1144,Sasimi,Sashimi,Weapon
1145,Holy_Avenger,Holy Avenger,Weapon
1146,Town_Sword,Town Sword,Weapon
1147,Town_Sword_,Town Sword,Weapon
1148,Star_Dust_Blade,Star Dust Blade,Weapon
1149,Flamberge_,Flamberge,Weapon
1150,Libra_Krasnaya_J,Libra's Krasnaya,Weapon
1151,Slayer,Slayer,Weapon
1152,Slayer_,Slayer,Weapon
1153,Slayer__,Slayer,Weapon
1154,Bastard_Sword,Bastard Sword,Weapon
1155,Bastard_Sword_,Bastard Sword,Weapon
1156,Bastard_Sword__,Bastard Sword,Weapon
1157,Two_Hand_Sword,Two-Handed Sword,Weapon
1158,Two_Hand_Sword_,Two-Handed Sword,Weapon
1159,Two_Hand_Sword__,Two-Handed Sword,Weapon
1160,Broad_Sword,Broad Sword,Weapon
1161,Balmung,Balmung,Weapon
1162,Broad_Sword_,Broad Sword,Weapon
1163,Claymore,Claymore,Weapon
1164,Muramasa,Muramasa,Weapon
1165,Masamune,Masamune,Weapon
1166,Dragon_Slayer,Dragon Slayer,Weapon
1167,Schweizersabel,Schweizersabel,Weapon
1168,Zweihander,Zweihander,Weapon
1169,Executioner_,Executioner,Weapon
1170,Katzbalger,Katzbalger,Weapon
1171,Zweihander_,Zweihander,Weapon
1172,Claymore_,Claymore,Weapon
1173,Muramasa_C,Muramasa,Weapon
1174,Executioner_C,Executioner,Weapon
1175,Altas_Weapon,Atlas Weapon,Weapon
1176,Muscle_Cutter,Muscle Cutter,Weapon
1177,Muramash,Muramash,Weapon
1178,Schweizersabel_,Schweizersabel,Weapon
1179,Executioner__,Executioner,Weapon
1180,Dragon_Slayer_,Dragon Slayer,Weapon
1181,Tae_Goo_Lyeon,Tae Goo Lyeon,Weapon
1182,Bloody_Eater,Bloody Eater,Weapon
1183,BF_Two_Handed_Sword1,Brave Assaulter's Katzbalger,Weapon
1184,BF_Two_Handed_Sword2,Valorous Assaulter's Katzbalger,Weapon
1185,Violet_Fear,Violet Fear,Weapon
1186,Death_Guidance,Death Guidance,Weapon
1187,Krieger_Twohand_Sword1,Glorious Claymore,Weapon
1188,Veteran_Sword,Veteran Sword,Weapon
1189,Krasnaya,Krasnaya,Weapon
1190,Claymore_C,Claymore,Weapon
1191,Alca_Bringer,Alca Bringer,Weapon
1192,P_Slayer1,Eden Slayer I,Weapon
1193,P_Slayer2,Eden Slayer II,Weapon
1194,F_Executioner_C,Executioner,Weapon
1195,E_Executioner_C,Executioner,Weapon
