id,name_aegis,name_english,type
670,Gold_Coin_Moneybag,Bag of Gold Coins,Etc
672,Copper_Coin_Moneybag,Bag of Bronze Coins,Etc
674,Mithril_Coin,Mithril Coin,Etc
676,Silver_Coin_Moneybag,Bag of Silver Coins,Etc
677,White_Gold_Coin,Platinum Coin,Etc
701,Ora_Ora,Ora Ora,Etc
702,Animal_Blood,Animal Gore,Etc
703,Hinalle,Hinalle,Etc
704,Aloe,Aloe,Etc
705,Clover,Clover,Etc
706,Four_Leaf_Clover,Four Leaf Clover,Etc
707,Singing_Plant,Singing Plant,Etc
708,Ment,Ment,Etc
709,Izidor,Izidor,Etc
710,Illusion_Flower,Illusion Flower,Etc
711,Shoot,Shoot,Etc
712,Flower,Flower,Etc
713,Empty_Bottle,Empty Bottle,Etc
714,Emperium,Emperium,Etc
715,Yellow_Gemstone,Yellow Gemstone,Etc
716,Red_Gemstone,Red Gemstone,Etc
717,Blue_Gemstone,Blue Gemstone,Etc
718,Dark_Red_Jewel,Garnet,Etc
719,Violet_Jewel,Amethyst,Etc
720,Skyblue_Jewel,Aquamarine,Etc
721,Azure_Jewel,Emerald,Etc
722,Scarlet_Jewel,Pearl,Etc
723,Cardinal_Jewel,Ruby,Etc
724,Cardinal_Jewel_,Cursed Ruby,Etc
725,Red_Jewel,Sardonyx,Etc
726,Blue_Jewel,Sapphire,Etc
727,White_Jewel,Opal,Etc
728,Golden_Jewel,Topaz,Etc
729,Bluish_Green_Jewel,Zircon,Etc
730,Crystal_Jewel,1carat Diamond,Etc
731,Crystal_Jewel_,2carat Diamond,Etc
732,Crystal_Jewel__,3carat Diamond,Etc
733,Crystal_Jewel___,Cracked Diamond,Etc
734,Red_Frame,Red Frame,Etc
735,Blue_Porcelain,Chung Jah,Etc
736,White_Platter,China,Etc
737,Black_Ladle,Black Ladle,Etc
738,Pencil_Case,Pencil Case,Etc
739,Rouge,Rouge,Etc
740,Stuffed_Doll,Puppet,Etc
741,Poring_Doll,Poring Doll,Etc
742,Chonchon_Doll,Chonchon Doll,Etc
743,Spore_Doll,Spore Doll,Etc
744,Bunch_Of_Flowers,Bouquet,Etc
745,Wedding_Bouquet,Wedding Bouquet,Etc
746,Glass_Bead,Glass Bead,Etc
747,Crystal_Mirror,Crystal Mirror,Etc
748,Witherless_Rose,Witherless Rose,Etc
749,Frozen_Rose,Frozen Rose,Etc
750,Baphomet_Doll,Baphomet Doll,Etc
751,Osiris_Doll,Osiris Doll,Etc
752,Grasshopper_Doll,Rocker Doll,Etc
753,Monkey_Doll,Yoyo Doll,Etc
754,Raccoondog_Doll,Raccoon Doll,Etc
756,Oridecon_Stone,Rough Oridecon,Etc
757,Elunium_Stone,Rough Elunium,Etc
766,Silky_Fur_Bundle,A bundle of shiny hair.,Etc
793,2ndTH_S_Booster_Ticket,Shadow Booster Voucher,Etc
824,3rdTH_Ragwart_Ticket,[Event] Level 200 Gift Ticket,Etc
901,Danggie,Daenggie,Etc
902,Tree_Root,Tree Root,Etc
903,Reptile_Tongue,Reptile Tongue,Etc
904,Scorpion's_Tail,Scorpion Tail,Etc
905,Stem,Stem,Etc
906,Pointed_Scale,Pointed Scale,Etc
907,Resin,Resin,Etc
908,Spawn,Spawn,Etc
909,Jellopy,Jellopy,Etc
910,Garlet,Garlet,Etc
911,Scell,Scell,Etc
912,Zargon,Zargon,Etc
913,Tooth_Of_Bat,Tooth of Bat,Etc
914,Fluff,Fluff,Etc
915,Chrysalis,Chrysalis,Etc
916,Feather_Of_Birds,Feather of Birds,Etc
917,Talon,Talon,Etc
918,Sticky_Webfoot,Sticky Webfoot,Etc
919,Animal's_Skin,Animal Skin,Etc
920,Claw_Of_Wolves,Wolf Claw,Etc
921,Mushroom_Spore,Mushroom Spore,Etc
922,Orcish_Cuspid,Orc's Fang,Etc
923,Evil_Horn,Evil Horn,Etc
924,Powder_Of_Butterfly,Powder of Butterfly,Etc
925,Bill_Of_Birds,Bill of Birds,Etc
926,Scale_Of_Snakes,Snake Scale,Etc
928,Insect_Feeler,Insect Feeler,Etc
929,Immortal_Heart,Immortal Heart,Etc
930,Rotten_Bandage,Rotten Bandage,Etc
931,Orcish_Voucher,Orcish Voucher,Etc
932,Skel_Bone,Skel-Bone,Etc
934,Mementos,Memento,Etc
935,Shell,Shell,Etc
936,Scales_Shell,Scale Shell,Etc
937,Posionous_Canine,Venom Canine,Etc
938,Sticky_Mucus,Sticky Mucus,Etc
939,Bee_Sting,Bee Sting,Etc
940,Grasshopper's_Leg,Grasshopper's Leg,Etc
941,Nose_Ring,Nose Ring,Etc
942,Yoyo_Tail,Yoyo Tail,Etc
943,Solid_Shell,Solid Shell,Etc
944,Horseshoe,Horseshoe,Etc
945,Raccoon_Leaf,Raccoon Leaf,Etc
946,Snail's_Shell,Snail's Shell,Etc
947,Horn,Horn,Etc
948,Bear's_Foot,Bear's Footskin,Etc
949,Feather,Feather,Etc
950,Heart_Of_Mermaid,Heart of Mermaid,Etc
951,Fin,Fin,Etc
952,Cactus_Needle,Cactus Needle,Etc
953,Stone_Heart,Stone Heart,Etc
954,Shining_Scales,Shining Scale,Etc
955,Worm_Peelings,Worm Peeling,Etc
956,Gill,Gill,Etc
957,Decayed_Nail,Decayed Nail,Etc
958,Horrendous_Mouth,Horrendous Mouth,Etc
959,Rotten_Scale,Stinky Scale,Etc
960,Nipper,Nipper,Etc
961,Conch,Conch,Etc
962,Tentacle,Tentacle,Etc
963,Sharp_Scale,Sharp Scale,Etc
964,Crap_Shell,Crab Shell,Etc
965,Clam_Shell,Clam Shell,Etc
