id,name_aegis,name_english,type
500,Warnut_Chocoball,Choko Gangjeong,Healing
501,Red_Potion,Red Potion,Healing
502,Orange_Potion,Orange Potion,Healing
503,Yellow_Potion,Yellow Potion,Healing
504,White_Potion,White Potion,Healing
505,Blue_Potion,Blue Potion,Healing
506,Green_Potion,Green Potion,Healing
507,Red_Herb,Red Herb,Healing
508,Yellow_Herb,Yellow Herb,Healing
509,White_Herb,White Herb,Healing
510,Blue_Herb,Blue Herb,Healing
511,Green_Herb,Green Herb,Healing
512,Apple,Apple,Healing
513,Banana,Banana,Healing
514,Grape,Grape,Healing
515,Carrot,Carrot,Healing
516,Sweet_Potato,Potato,Healing
517,Meat,Meat,Healing
518,Honey,Honey,Healing
519,Milk,Milk,Healing
520,Leaflet_Of_Hinal,Hinalle Leaflet,Healing
521,Leaflet_Of_Aloe,Aloe Leaflet,Healing
522,Fruit_Of_Mastela,Mastela Fruit,Healing
523,Holy_Water,Holy Water,Healing
525,Panacea,Panacea,Healing
526,Royal_Jelly,Royal Jelly,Healing
528,Monster's_Feed,Monster's Feed,Healing
529,Candy,Candy,Healing
530,Candy_Striper,Candy Cane,Healing
531,Apple_Juice,Apple Juice,Healing
532,Banana_Juice,Banana Juice,Healing
533,Grape_Juice,Grape Juice,Healing
534,Carrot_Juice,Carrot Juice,Healing
535,Pumpkin,Pumpkin,Healing
536,Ice_Cream,Ice Cream,Healing
537,Pet_Food,Pet Food,Healing
538,Well_Baked_Cookie,Well-baked Cookie,Healing
539,Piece_Of_Cake,Piece of Cake,Healing
540,Falcon's_Feed,Falcon Food,Healing
541,Pecopeco's_Feed,PecoPeco Food,Healing
542,Festive_Cookie,Festival Cookie,Healing
543,Festive_Rainbow_Cake,Festival Rainbow Cake,Healing
544,Fish_Slice,Raw Fish,Healing
545,Red_Slim_Potion,Condensed Red Potion,Healing
546,Yellow_Slim_Potion,Condensed Yellow Potion,Healing
547,White_Slim_Potion,Condensed White Potion,Healing
548,Cheese,Cheese,Healing
549,Nice_Sweet_Potato,Yam,Healing
550,Popped_Rice,Rice Cake,Healing
551,Shusi,Sushi,Healing
552,KETUPAT,Ketupat,Healing
553,Bun,Bao,Healing
554,Mojji,Mochi,Healing
555,Rice_Cake,Traditional Rice Cake,Healing
556,Long_Rice_Cake,Rice Cake Stick,Healing
557,Hash_Rice_Cake,Neatly Sliced Rice Cake,Healing
558,Chocolate,Chocolate,Healing
559,HandMade_Chocolate,Hand-made Chocolate,Healing
560,HandMade_Chocolate_,Handmade White Chocolate,Healing
561,White_Chocolate,White Chocolate,Healing
562,Pizza,Doublecrust Swiss Fondue,Healing
563,Pizza_01,Doublecrust Swiss Fondue,Healing
564,Rice_Ball,Rice Ball,Healing
565,Vita500_Bottle,Vita500,Healing
566,Tomyumkung,Tom Yum Goong,Healing
567,Prawn,Shrimp,Healing
568,Lemon,Lemon,Healing
569,Novice_Potion,Novice Potion,Healing
570,Lucky_Candy,Lucky Candy,Healing
571,Lucky_Candy_Cane,Lucky Candy Cane,Healing
572,Lucky_Cookie,Lucky Cookie,Healing
573,Chocolate_Drink,Chocolate Drink,Healing
574,Egg,Egg,Healing
575,Piece_Of_Cake_,2nd Anniversary Cake,Healing
576,Prickly_Fruit,Prickly Fruit,Healing
577,Grain,Bag of Grain,Healing
578,Strawberry,Strawberry,Healing
579,Delicious_Fish,Fresh Fish,Healing
580,Bread,Bread,Healing
581,Mushroom,Edible Mushroom,Healing
582,Orange,Orange,Healing
583,KETUPAT_,Ketupat Sayur,Healing
584,Fish_Ball_Soup,Fish Cake Soup,Healing
585,Wurst,Brusti,DelayConsume
586,Mother's_Cake,Mother's Cake,Healing
587,Prickly_Fruit_,Red Prickly Fruit,Healing
588,Spaghetti,Spaghetti,Healing
589,Pizza_02,Pizza,Healing
590,Brezel_,Pretzel,Healing
591,Caviar_Pancake,Caviar Pancake,Healing
592,Jam_Pancake,Jam Pancake,Healing
593,Honey_Pancake,Honey Pancake,Healing
594,Sour_Cream_Pancake,Sour-Cream Pancake,Healing
595,Mushroom_Pancake,Mushroom Pancake,Healing
596,Cute_Strawberry_Choco,Cute Strawberry-Choco,Healing
597,Lovely_Choco_Tart,Lovely Choco-Tart,Healing
598,Light_Red_Pot,Light Red Potion,Healing
599,Light_Orange_Pot,Light Orange Potion,Healing
601,Wing_Of_Fly,Fly Wing,DelayConsume
602,Wing_Of_Butterfly,Butterfly Wing,DelayConsume
603,Old_Blue_Box,Old Blue Box,Usable
604,Branch_Of_Dead_Tree,Dead Branch,Usable
605,Anodyne,Anodyne,DelayConsume
606,Aloebera,Aloevera,DelayConsume
607,Yggdrasilberry,Yggdrasil Berry,Healing
608,Seed_Of_Yggdrasil,Yggdrasil Seed,Healing
609,Amulet,Amulet,Usable
610,Leaf_Of_Yggdrasil,Yggdrasil Leaf,DelayConsume
611,Spectacles,Magnifier,DelayConsume
612,Portable_Furnace,Mini Furnace,Usable
613,Iron_Hammer,Iron Hammer,Usable
614,Golden_Hammer,Golden Hammer,Usable
615,Oridecon_Hammer,Oridecon Hammer,Usable
616,Old_Card_Album,Old Card Album,Usable
617,Old_Violet_Box,Old Purple Box,Usable
618,Worn_Out_Scroll,Worn Out Scroll,Usable
619,Unripe_Apple,Unripe Apple,Usable
620,Orange_Juice,Orange Juice,Usable
621,Bitter_Herb,Bitter Herb,Usable
622,Rainbow_Carrot,Rainbow Carrot,Usable
623,Earthworm_The_Dude,Earthworm the Dude,Usable
624,Rotten_Fish,Rotten Fish,Usable
625,Lusty_Iron,Rusty Iron,Usable
626,Monster_Juice,Monster Juice,Usable
627,Sweet_Milk,Sweet Milk,Usable
628,Well_Dried_Bone,Well-Dried Bone,Usable
629,Singing_Flower,Singing Flower,Usable
630,Dew_Laden_Moss,Dew Laden Moss,Usable
631,Deadly_Noxious_Herb,Deadly Noxious Herb,Usable
632,Fatty_Chubby_Earthworm,Fatty Chubby Earthworm,Usable
633,Baked_Yam,Sweet Potato,Usable
634,Tropical_Banana,Tropical Banana,Usable
635,Horror_Of_Tribe,Orc Trophy,Usable
636,No_Recipient,No Recipient,Usable
637,Old_Broom,Old Broom,Usable
638,Silver_Knife_Of_Chaste,Silver Knife of Chastity,Usable
639,Armlet_Of_Obedience,Armlet of Obedience,Usable
640,Shining_Stone,Shining Stone,Usable
641,Contracts_In_Shadow,Contract in Shadow,Usable
642,Book_Of_Devil,Book of the Devil,Usable
643,Pet_Incubator,Pet Incubator,Usable
644,Gift_Box,Gift Box,Usable
645,Center_Potion,Concentration Potion,Usable
656,Awakening_Potion,Awakening Potion,Usable
657,Berserk_Potion,Berserk Potion,Usable
